"Step","polar-music-6 - train/loss","polar-music-6 - train/loss__MIN","polar-music-6 - train/loss__MAX"
"1290","0.8749","0.8749","0.8749"
"1292","0.401","0.401","0.401"
"1294","1.7259","1.7259","1.7259"
"1300","0.7877","0.7877","0.7877"
"1302","0.9557","0.9557","0.9557"
"1304","0.9699","0.9699","0.9699"
"1306","0.5088","0.5088","0.5088"
"1309","0.3078","0.3078","0.3078"
"1310","0.1344","0.1344","0.1344"
"1311","0.1344","0.1344","0.1344"
"1312","1.1567","1.1567","1.1567"
"1316","1.3225","1.3225","1.3225"
"1325","1.7133","1.7133","1.7133"
"1327","0.9761","0.9761","0.9761"
"1330","1.3627","1.3627","1.3627"
"1331","1.3627","1.3627","1.3627"
"1332","1.2602","1.2602","1.2602"
"1337","0.9818","0.9818","0.9818"
"1343","0.1561","0.1561","0.1561"
"1348","1.5501","1.5501","1.5501"
"1349","1.5501","1.5501","1.5501"
"1351","1.1099","1.1099","1.1099"
"1355","0.6829","0.6829","0.6829"
"1358","1.53","1.53","1.53"
"1360","0.3429","0.3429","0.3429"
"1361","0.3429","0.3429","0.3429"
"1362","0.2837","0.2837","0.2837"
"1365","1.73","1.73","1.73"
"1367","0.1491","0.1491","0.1491"
"1369","1.3028","1.3028","1.3028"
"1372","1.0288","1.0288","1.0288"
"1375","0.7722","0.7722","0.7722"
"1384","0.4014","0.4014","0.4014"
"1385","0.4014","0.4014","0.4014"
"1386","1.0994","1.0994","1.0994"
"1388","0.2207","0.2207","0.2207"
"1391","1.0545","1.0545","1.0545"
"1396","0.9568","0.9568","0.9568"
"1397","0.9568","0.9568","0.9568"
"1400","1.0135","1.0135","1.0135"
"1402","0.6332","0.6332","0.6332"
"1404","0.9654","0.9654","0.9654"
"1407","0.4092","0.4092","0.4092"
"1408","0.4194","0.4194","0.4194"
"1409","0.4194","0.4194","0.4194"
"1412","0.7929","0.7929","0.7929"
"1413","0.7929","0.7929","0.7929"
"1418","0.7144","0.7144","0.7144"
