"Step","breezy-bee-11 - train/loss","breezy-bee-11 - train/loss__MIN","breezy-bee-11 - train/loss__MAX"
"2240","0.29","0.29","0.29"
"2244","0.995","0.995","0.995"
"2249","0.0845","0.0845","0.0845"
"2252","1.1849","1.1849","1.1849"
"2255","0.8457","0.8457","0.8457"
"2257","1.3939","1.3939","1.3939"
"2269","0.4819","0.4819","0.4819"
"2275","1.1676","1.1676","1.1676"
"2281","1.3164","1.3164","1.3164"
"2283","0.9872","0.9872","0.9872"
"2284","0.7159","0.7159","0.7159"
"2286","3.1254","3.1254","3.1254"
"2287","3.1254","3.1254","3.1254"
"2289","0.9974","0.9974","0.9974"
"2290","0.103","0.103","0.103"
"2291","0.103","0.103","0.103"
"2297","1.8026","1.8026","1.8026"
"2298","0.5638","0.5638","0.5638"
"2301","1.1387","1.1387","1.1387"
"2302","0.3417","0.3417","0.3417"
"2310","1.1237","1.1237","1.1237"
"2314","0.1855","0.1855","0.1855"
"2316","0.387","0.387","0.387"
"2318","1.0772","1.0772","1.0772"
"2324","0.0689","0.0689","0.0689"
"2326","0.9687","0.9687","0.9687"
"2332","0.2528","0.2528","0.2528"
"2333","0.2528","0.2528","0.2528"
"2335","1.1373","1.1373","1.1373"
"2337","0.0658","0.0658","0.0658"
"2339","0.9377","0.9377","0.9377"
"2345","1.0447","1.0447","1.0447"
"2347","1.2117","1.2117","1.2117"
"2351","0.668","0.668","0.668"
"2354","1.8778","1.8778","1.8778"
"2355","1.8778","1.8778","1.8778"
"2360","0.6217","0.6217","0.6217"
"2361","0.6217","0.6217","0.6217"
"2365","1.5952","1.5952","1.5952"
"2366","0.5371","0.5371","0.5371"
"2370","0.0771","0.0771","0.0771"
"2376","0.0688","0.0688","0.0688"
"2393","0.2811","0.2811","0.2811"
"2398","0.9063","0.9063","0.9063"
"2399","0.9063","0.9063","0.9063"
"2402","0.5442","0.5442","0.5442"
"2404","0.4688","0.4688","0.4688"
"2406","0.0989","0.0989","0.0989"
"2416","1.2717","1.2717","1.2717"
"2417","1.2717","1.2717","1.2717"
"2419","0.6489","0.6489","0.6489"
"2425","0.4396","0.4396","0.4396"
"2429","0.7985","0.7985","0.7985"
"2431","0.4597","0.4597","0.4597"
"2435","1.3913","1.3913","1.3913"
"2437","0.8218","0.8218","0.8218"
"2438","0.3662","0.3662","0.3662"
"2440","1.428","1.428","1.428"
"2441","1.428","1.428","1.428"
"2445","0.2636","0.2636","0.2636"
"2450","0.6389","0.6389","0.6389"
"2453","0.1879","0.1879","0.1879"
"2456","0.6003","0.6003","0.6003"
"2468","1.2459","1.2459","1.2459"
"2471","0.8657","0.8657","0.8657"
"2473","1.2513","1.2513","1.2513"
"2477","1.6656","1.6656","1.6656"
"2486","0.4265","0.4265","0.4265"
"2488","0.8619","0.8619","0.8619"
"2489","0.8619","0.8619","0.8619"
"2490","1.2129","1.2129","1.2129"
"2491","1.2129","1.2129","1.2129"
"2493","0.9522","0.9522","0.9522"
"2494","2.0477","2.0477","2.0477"
"2496","0.6598","0.6598","0.6598"
"2501","0.2872","0.2872","0.2872"
"2502","0.0774","0.0774","0.0774"
"2506","1.0118","1.0118","1.0118"
"2515","0.9282","0.9282","0.9282"
"2517","0.2909","0.2909","0.2909"
"2520","0.4044","0.4044","0.4044"
"2530","0.2482","0.2482","0.2482"
"2536","0.7058","0.7058","0.7058"
"2540","0.3825","0.3825","0.3825"
"2549","0.6994","0.6994","0.6994"
"2553","0.6029","0.6029","0.6029"
"2555","1.8798","1.8798","1.8798"
"2558","1.8399","1.8399","1.8399"
"2562","0.5619","0.5619","0.5619"
"2571","0.5205","0.5205","0.5205"
"2580","1.8272","1.8272","1.8272"
"2587","2.0327","2.0327","2.0327"
"2588","1.2217","1.2217","1.2217"
"2590","1.2284","1.2284","1.2284"
"2592","0.3274","0.3274","0.3274"
"2594","0.2504","0.2504","0.2504"
"2597","1.7827","1.7827","1.7827"
"2607","2.0632","2.0632","2.0632"
"2610","0.8376","0.8376","0.8376"
"2611","0.8376","0.8376","0.8376"
"2613","0.6212","0.6212","0.6212"
"2618","1.7284","1.7284","1.7284"
"2629","0.0347","0.0347","0.0347"
"2631","0.8005","0.8005","0.8005"
"2632","1.1733","1.1733","1.1733"
"2635","1.412","1.412","1.412"
"2638","0.7829","0.7829","0.7829"
"2641","0.328","0.328","0.328"
"2646","0.6338","0.6338","0.6338"
"2653","0.6889","0.6889","0.6889"
"2662","0.2153","0.2153","0.2153"
"2664","0.0932","0.0932","0.0932"
"2667","2.0901","2.0901","2.0901"
"2668","0.4324","0.4324","0.4324"
"2669","0.4324","0.4324","0.4324"
"2673","0.2218","0.2218","0.2218"
"2675","0.6417","0.6417","0.6417"
"2677","2.6681","2.6681","2.6681"
"2682","1.6226","1.6226","1.6226"
"2685","0.6985","0.6985","0.6985"
"2691","0.0919","0.0919","0.0919"
"2696","0.288","0.288","0.288"
"2704","1.1296","1.1296","1.1296"
"2712","0.9967","0.9967","0.9967"
