id,inp_count,out_count
4189,263,119
3948,91,144
1746,33,133
632,433,40
1504,149,44
3248,146,46
3433,16,41
1834,92,154
3294,102,37
4624,191,516
3184,58,167
44,16,39
1481,75,121
2252,16,39
2340,168,6
3424,99,101
3084,54,270
79,47,97
4038,63,95
2831,64,23
3387,37,23
2239,92,759
474,12,27
4200,114,52
2213,60,18
2711,72,16
3522,273,238
1396,69,82
1919,49,33
5074,82,203
3658,17,35
1399,166,127
261,491,78
2771,105,360
562,254,284
2744,111,23
3495,29,12
3393,16,39
2955,80,37
785,139,80
4954,491,472
2269,16,39
2858,106,127
3438,214,170
2947,31,180
637,61,75
1398,80,229
1490,416,64
4944,419,171
4768,121,69
4078,293,564
2044,95,32
3190,18,23
5184,324,1416
3512,45,41
966,29,22
4853,16,39
1373,43,100
1002,420,172
5161,134,268
2476,95,6
1664,100,68
4777,89,32
3397,146,24
4677,21,203
756,65,57
4939,118,17
3276,166,280
795,289,112
3834,28,69
2095,36,99
4634,105,147
3057,38,26
4140,154,534
553,54,14
86,44,104
5236,48,44
1403,40,10
4791,78,409
981,54,67
3680,51,107
3943,72,17
5064,188,107
3363,52,358
2363,180,26
4449,188,25
825,314,1029
358,167,3515
2216,27,17
2163,36,52
1014,220,66
878,202,656
4769,87,139
974,54,127
2686,66,114
195,367,300
175,209,132
1632,69,62
484,16,39
2708,58,38
4603,36,12
5034,44,79
1406,105,23
3356,21,13
1190,110,66
4790,273,219
3726,71,45
1382,21,19
4394,98,1246
4891,221,161
3927,286,122
4559,16,39
4383,184,70
3516,30,37
3527,119,174
4799,16,39
3332,134,8
356,21,29
1928,16,39
2659,131,53
2168,144,140
2169,34,34
2010,25,73
4934,106,10
341,25,85
889,26,22
3285,179,10
5141,60,392
3690,52,39
1283,42,220
4625,339,31
3786,216,254
4136,428,397
2297,27,39
3679,221,331
2374,110,10
2056,159,34
1590,177,5
829,292,1367
853,205,348
3962,266,160
59,15,55
3175,105,55
3553,186,396
2076,22,439
3963,69,15
4993,60,75
1017,71,208
1835,157,340
3508,104,326
2325,175,145
1217,111,484
1058,18,24
2720,66,11
209,87,241
3263,18,28
3458,141,173
1497,156,155
2811,20,77
819,250,566
4953,180,445
3296,39,288
3732,95,617
3422,31,14
313,126,176
5197,63,96
461,248,203
4685,23,47
2501,32,74
2899,311,176
2242,133,23
3613,493,65
772,129,41
1022,47,94
4598,101,126
2427,233,120
1060,24,34
3419,48,8
1897,102,54
4264,341,57
355,17,26
2782,19,57
1485,97,8
1858,122,13
1163,128,38
2693,17,575
371,116,78
3949,68,367
155,61,156
738,28,108
3660,17,27
1185,253,78
906,341,1837
1037,16,141
4979,25,17
1601,95,24
2368,62,108
2895,161,462
710,154,72
1073,112,1195
67,175,80
312,41,9
2389,63,26
4957,233,446
2032,40,37
3812,16,39
5117,134,23
1285,77,12
2152,449,423
26,337,2263
5113,80,14
4257,131,213
4381,201,156
813,163,1034
933,252,73
4994,97,84
1009,84,258
2866,32,113
3840,15,20
2563,78,41
4812,65,78
5240,192,125
4945,325,116
417,110,6
4149,115,204
4602,72,198
4814,26,32
579,64,23
2458,425,88
4911,45,329
4145,108,1525
1007,192,309
3985,73,235
4888,228,340
2529,55,71
3744,246,124
218,289,95
3415,35,18
1428,41,580
3219,24,36
3739,258,475
2890,153,69
2090,66,12
1006,60,417
2587,3,3
610,83,43
2006,69,43
4710,138,906
3067,44,41
3233,86,89
1287,27,47
2636,75,12
1770,277,1018
3644,143,126
3713,223,31
5101,260,33
3056,21,9
1930,205,41
1536,239,313
3020,22,77
4051,56,45
3588,71,129
3587,69,65
3772,263,147
3306,323,16
55,112,43
1084,58,109
2084,154,24
3677,26,48
4141,258,421
648,64,23
3261,54,36
4591,492,317
132,159,742
4403,197,114
4147,227,103
3137,65,94
3411,97,16
1446,172,79
